product_id,sku,name,brand,category,subcategory,price,unit_cost,weight_oz,is_store_brand,is_rx,popularity_score,avg_units_per_store_per_week,rx_generic_name,rx_therapeutic_class,rx_days_supply
1,011694458336,"Aveeno Baby Calming Comfort Bath Wash & Shampoo Lavender & Vanilla, 12 OZ",Aveeno Baby,Baby & Childcare,Body Wash,11.69,6.31,13.1,False,False,0.4366,13.85,,,
2,041429511029,"Aveeno Baby Calming Comfort Bath Wash & Shampoo Lavender & Vanilla, 12 OZ Club Pack",Aveeno Baby,Baby & Childcare,Body Wash,35.07,17.21,35.4,False,False,0.3942,4.06,,,
3,040431971654,"Aveeno Baby Calming Comfort Bath Wash & Shampoo Lavender & Vanilla, 16 OZ",Aveeno Baby,Baby & Childcare,Body Wash,14.38,5.13,17.3,False,False,0.4866,14.77,,,
4,077836514841,"Aveeno Baby Calming Comfort Bath Wash & Shampoo Lavender & Vanilla, 16 OZ Club Pack",Aveeno Baby,Baby & Childcare,Body Wash,43.14,23.29,46.7,False,False,0.4174,10.18,,,
5,064734789419,"Aveeno Baby Calming Comfort Bath Wash & Shampoo Lavender & Vanilla, 8 OZ",Aveeno Baby,Baby & Childcare,Body Wash,8.99,4.25,8.9,False,False,0.4796,3.97,,,
6,093288587707,"Aveeno Baby Calming Comfort Bath Wash & Shampoo Lavender & Vanilla, 8 OZ Stock Up Size",Aveeno Baby,Baby & Childcare,Body Wash,21.58,9.93,19.2,False,False,0.4204,14.36,,,
7,073725422143,"Aveeno Baby Daily Moisture Lotion Fragrance Free, 12 OZ",Aveeno Baby,Baby & Childcare,Lotion,11.69,4.72,13.1,False,False,0.5551,3.5,,,
8,004115052862,"Aveeno Baby Daily Moisture Lotion Fragrance Free, 12 OZ Economy Pack",Aveeno Baby,Baby & Childcare,Lotion,29.22,10.44,29.5,False,False,0.5092,9.09,,,
9,098371648051,"Aveeno Baby Daily Moisture Lotion Fragrance Free, 12 OZ Family Size",Aveeno Baby,Baby & Childcare,Lotion,25.72,12.35,25.9,False,False,0.4733,8.18,,,
10,099989810595,"Aveeno Baby Daily Moisture Lotion Fragrance Free, 16 OZ",Aveeno Baby,Baby & Childcare,Lotion,14.38,5.91,17.3,False,False,0.6009,13.2,,,
11,013686428273,"Aveeno Baby Daily Moisture Lotion Fragrance Free, 16 OZ Stock Up Size",Aveeno Baby,Baby & Childcare,Lotion,34.51,18.78,37.4,False,False,0.5362,3.26,,,
12,096262594395,"Aveeno Baby Daily Moisture Lotion Fragrance Free, 16 OZ Value Size",Aveeno Baby,Baby & Childcare,Lotion,25.88,9.34,28.0,False,False,0.5103,12.28,,,
13,064126067842,"Aveeno Baby Daily Moisture Lotion Fragrance Free, 8 OZ",Aveeno Baby,Baby & Childcare,Lotion,8.99,4.61,8.9,False,False,0.6099,9.41,,,
14,074468774551,"Aveeno Baby Daily Moisture Lotion Fragrance Free, 8 OZ Max Pack",Aveeno Baby,Baby & Childcare,Lotion,23.37,12.2,20.8,False,False,0.5277,11.18,,,
15,035617759652,"Aveeno Baby Daily Moisture Lotion Fragrance Free, 8 OZ Stock Up Size",Aveeno Baby,Baby & Childcare,Lotion,21.58,10.74,19.2,False,False,0.5118,9.63,,,
16,075511390827,"Aveeno Baby Eczema Therapy Moisturizing Cream, 16 OZ",Aveeno Baby,Baby & Childcare,Cream,26.38,9.51,17.3,False,False,0.4784,12.19,,,
17,070883331355,"Aveeno Baby Eczema Therapy Moisturizing Cream, 16 OZ Value Size",Aveeno Baby,Baby & Childcare,Cream,47.48,23.22,28.0,False,False,0.3817,2.72,,,
18,036954150836,"Aveeno Baby Eczema Therapy Moisturizing Cream, 4 OZ",Aveeno Baby,Baby & Childcare,Cream,10.99,4.78,4.7,False,False,0.4979,4.65,,,
19,004309046981,"Aveeno Baby Eczema Therapy Moisturizing Cream, 4 OZ Super Size",Aveeno Baby,Baby & Childcare,Cream,21.43,9.38,8.2,False,False,0.4349,13.77,,,
20,053335732955,"Aveeno Baby Eczema Therapy Moisturizing Cream, 8 OZ",Aveeno Baby,Baby & Childcare,Cream,17.03,9.31,8.9,False,False,0.4847,7.41,,,
21,007576911389,"Aveeno Baby Eczema Therapy Moisturizing Cream, 8 OZ Max Pack",Aveeno Baby,Baby & Childcare,Cream,44.28,17.21,20.8,False,False,0.4093,8.24,,,
22,053051827027,"Aveeno Baby Soothing Relief Emollient Cream, 16 OZ",Aveeno Baby,Baby & Childcare,Cream,23.98,8.67,17.3,False,False,0.417,5.78,,,
23,052142295257,"Aveeno Baby Soothing Relief Emollient Cream, 16 OZ Super Size",Aveeno Baby,Baby & Childcare,Cream,46.76,21.87,30.4,False,False,0.3394,1.91,,,
24,091927795896,"Aveeno Baby Soothing Relief Emollient Cream, 4 OZ",Aveeno Baby,Baby & Childcare,Cream,9.99,4.99,4.7,False,False,0.3412,4.55,,,
25,007028053490,"Aveeno Baby Soothing Relief Emollient Cream, 4 OZ Jumbo Pack",Aveeno Baby,Baby & Childcare,Cream,27.97,14.23,11.8,False,False,0.2616,3.27,,,
26,030742955139,"Aveeno Baby Soothing Relief Emollient Cream, 8 OZ",Aveeno Baby,Baby & Childcare,Cream,15.48,8.49,8.9,False,False,0.415,3.18,,,
27,056507978793,"Aveeno Baby Soothing Relief Emollient Cream, 8 OZ Family Size",Aveeno Baby,Baby & Childcare,Cream,34.06,16.82,17.6,False,False,0.3478,4.25,,,
28,099759907623,"CVS Health Baby Lotion Gentle Formula, 12 OZ",CVS Health,Baby & Childcare,Lotion,5.84,1.53,13.1,True,False,0.413,4.52,,,
29,021269326168,"CVS Health Baby Lotion Gentle Formula, 12 OZ Max Pack",CVS Health,Baby & Childcare,Lotion,15.18,4.21,30.7,True,False,0.3277,1.17,,,
30,089572355008,"CVS Health Baby Lotion Gentle Formula, 16 OZ",CVS Health,Baby & Childcare,Lotion,7.18,2.17,17.3,True,False,0.4474,10.86,,,
31,066580781067,"CVS Health Baby Lotion Gentle Formula, 16 OZ Club Pack",CVS Health,Baby & Childcare,Lotion,21.54,6.17,46.7,True,False,0.3869,2.17,,,
32,031987576981,"CVS Health Baby Lotion Gentle Formula, 8 OZ",CVS Health,Baby & Childcare,Lotion,4.49,1.53,8.9,True,False,0.4411,8.74,,,
33,063298428475,"CVS Health Baby Lotion Gentle Formula, 8 OZ Club Pack",CVS Health,Baby & Childcare,Lotion,13.47,3.61,24.0,True,False,0.3801,1.31,,,
34,074929769324,"CVS Health Baby Wash & Shampoo Gentle, 12 OZ",CVS Health,Baby & Childcare,Body Wash,5.84,1.68,13.1,True,False,0.4166,9.52,,,
35,028595572993,"CVS Health Baby Wash & Shampoo Gentle, 12 OZ Club Pack",CVS Health,Baby & Childcare,Body Wash,17.52,5.68,35.4,True,False,0.3391,3.94,,,
36,060661365443,"CVS Health Baby Wash & Shampoo Gentle, 16 OZ",CVS Health,Baby & Childcare,Body Wash,7.18,2.18,17.3,True,False,0.3607,4.66,,,
37,049761094668,"CVS Health Baby Wash & Shampoo Gentle, 16 OZ Family Size",CVS Health,Baby & Childcare,Body Wash,15.8,4.47,34.3,True,False,0.2937,3.85,,,
38,007907724091,"CVS Health Baby Wash & Shampoo Gentle, 8 OZ",CVS Health,Baby & Childcare,Body Wash,4.49,1.76,8.9,True,False,0.3785,4.12,,,
39,092427590509,"CVS Health Baby Wash & Shampoo Gentle, 8 OZ Super Size",CVS Health,Baby & Childcare,Body Wash,8.76,2.57,15.6,True,False,0.3349,3.61,,,
40,074324669021,"CVS Health Baby Wipes Fresh Scent, 12 Pack",CVS Health,Baby & Childcare,Wipes,4.48,1.47,96.0,True,False,0.5156,6.21,,,
41,079155802067,"CVS Health Baby Wipes Fresh Scent, 24 Pack",CVS Health,Baby & Childcare,Wipes,7.97,2.83,192.0,True,False,0.4935,9.04,,,
42,058526872588,"CVS Health Baby Wipes Fresh Scent, 6 Pack",CVS Health,Baby & Childcare,Wipes,2.49,0.64,48.0,True,False,0.5077,13.81,,,
43,088412361643,"CVS Health Baby Wipes Sensitive Fragrance Free, 12 Pack",CVS Health,Baby & Childcare,Wipes,4.48,1.59,96.0,True,False,0.5147,10.46,,,
44,036332658916,"CVS Health Baby Wipes Sensitive Fragrance Free, 24 Pack",CVS Health,Baby & Childcare,Wipes,7.97,2.33,192.0,True,False,0.5127,5.44,,,
45,062617221216,"CVS Health Baby Wipes Sensitive Fragrance Free, 6 Pack",CVS Health,Baby & Childcare,Wipes,2.49,0.67,48.0,True,False,0.5613,14.71,,,
46,015877306476,"CVS Health Diaper Rash Cream Maximum Strength, 16 OZ",CVS Health,Baby & Childcare,Cream,14.38,4.09,17.3,True,False,0.4294,11.9,,,
47,077789118387,"CVS Health Diaper Rash Cream Maximum Strength, 16 OZ Bulk Pack",CVS Health,Baby & Childcare,Cream,50.33,14.17,54.5,True,False,0.3603,2.49,,,
48,092902048259,"CVS Health Diaper Rash Cream Maximum Strength, 4 OZ",CVS Health,Baby & Childcare,Cream,5.99,2.23,4.7,True,False,0.4205,4.7,,,
49,040376490401,"CVS Health Diaper Rash Cream Maximum Strength, 4 OZ Jumbo Pack",CVS Health,Baby & Childcare,Cream,16.77,6.65,11.8,True,False,0.3474,3.79,,,
