store_id,name,address,city,state,zip_code,latitude,longitude,phone,store_type,hours_mon_fri,hours_sat,hours_sun
17435,CVS Pharmacy,1200 N Muldoon Rd,Anchorage,AK,99504,61.21147,-149.73676,(907) 332-1004,pharmacy,,,
17436,CVS Pharmacy,150 W 100Th Ave,Anchorage,AK,99515,61.12958,-149.88045,(907) 267-7501,pharmacy,,,
17404,CVS Pharmacy,1801 E Parks Hwy,Wasilla,AK,99654,61.57795,-149.40269,(907) 631-7201,pharmacy,,,
17350,CVS Pharmacy,250 S Colonial Dr,Alabaster,AL,35007,33.22435,-86.80434,(205) 564-2609,pharmacy,,,
4867,CVS Pharmacy,520 Highway 119,Alabaster,AL,35007,33.23882,-86.81784,(205) 663-5405,pharmacy,07:00 AM - 10:00 PM,08:00 AM - 09:00 PM,09:00 AM - 08:00 PM
4910,CVS Pharmacy,6181 Us Hwy 431,Albertville,AL,35950,34.26589,-86.19331,(256) 878-3502,pharmacy,08:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 07:00 PM
4946,CVS Pharmacy,"113 3Rd St, Se",Aliceville,AL,35442,33.12706,-88.1486,(205) 373-8475,pharmacy,09:00 AM - 07:00 PM,09:00 AM - 06:00 PM,10:00 AM - 06:00 PM
7077,CVS Pharmacy,1204 Dr M L K Jr Expy,Andalusia,AL,36420,31.31833,-86.46081,(334) 222-0518,pharmacy,08:00 AM - 09:00 PM,08:00 AM - 09:00 PM,09:00 AM - 08:00 PM
4870,CVS Pharmacy,1407 Quintard Ave.,Anniston,AL,36201,33.6628,-85.82607,(256) 236-3016,pharmacy,08:00 AM - 08:00 PM,09:00 AM - 08:00 PM,10:00 AM - 07:00 PM
4941,CVS Pharmacy,1204 N. Brindlee Mountain Pkwy.,Arab,AL,35016,34.33817,-86.50256,(256) 586-6021,pharmacy,08:00 AM - 09:00 PM,08:00 AM - 09:00 PM,09:00 AM - 07:00 PM
4815,CVS Pharmacy,215 Hwy 31 South,Athens,AL,35611,34.79725,-86.95323,(256) 233-0514,pharmacy,08:00 AM - 10:00 PM,08:00 AM - 10:00 PM,11:00 AM - 10:00 PM
10208,CVS Pharmacy,333 S College St,Auburn,AL,36830,32.60038,-85.48137,(334) 466-8200,pharmacy,Open 24 Hours - Open 24 Hours,Open 24 Hours - Open 24 Hours,Open 24 Hours - Open 24 Hours
1777,CVS Pharmacy,1888 Ogletree Road,Auburn,AL,36830,32.58416,-85.43812,(334) 502-8363,pharmacy,08:00 AM - 10:00 PM,08:00 AM - 10:00 PM,08:00 AM - 10:00 PM
17862,CVS Pharmacy,129 N. College St,Auburn,AL,36830,32.60756,-85.48197,(334) 539-6437,pharmacy,,,
2402,CVS Pharmacy,770 East Glenn Avenue,Auburn,AL,36830,32.60825,-85.4655,(334) 887-7043,pharmacy,08:00 AM - 12:00 AM,08:00 AM - 10:00 PM,08:00 AM - 09:00 PM
4938,CVS Pharmacy,208 Mcmeans Ave.,Bay Minette,AL,36507,30.88476,-87.77456,(251) 937-3933,pharmacy,08:00 AM - 09:00 PM,08:00 AM - 09:00 PM,09:00 AM - 08:00 PM
